Gender,watch videos everyday,interest in traveling,landscapes,Do you have an interest in history and culture showcased in regional promotional videos?,food,souvenirs,festivals,visit the actual location
FeMale,5,5,2,1,4,2,2,5
FeMale,4,5,4,4,3,3,2,3
Male,3,5,2,3,3,3,3,3
Male,5,5,5,4,5,4,4,4
Male,1,4,2,4,3,3,4,4
FeMale,5,5,5,5,3,4,3,4
FeMale,3,5,4,3,4,3,3,3
FeMale,5,5,5,2,5,5,5,5
Male,5,3,4,3,5,3,5,4
Male,3,2,5,5,2,2,4,3
Male,3,4,3,4,3,4,2,3
Male,5,1,1,1,1,1,1,1
FeMale,5,5,5,3,5,5,5,5
FeMale,5,1,4,2,3,4,2,3
FeMale,5,5,5,2,5,5,1,5
FeMale,4,4,5,3,5,3,5,4
FeMale,3,5,5,5,5,5,5,5
Male,5,4,3,3,4,4,4,4
FeMale,5,5,5,5,5,5,5,5
FeMale,5,4,3,4,4,5,4,4
FeMale,5,4,4,4,5,5,4,4
Male,5,3,3,3,3,3,3,4
FeMale,5,5,5,5,5,5,5,5
FeMale,5,4,5,2,5,1,1,3
Male,5,4,5,3,5,2,3,4
Male,5,4,4,2,5,5,4,4
FeMale,5,1,1,1,1,1,1,2
FeMale,5,5,5,5,4,3,4,4
Male,5,3,2,2,2,2,2,2
FeMale,5,5,4,4,5,5,5,5
Male,4,3,3,3,2,3,3,3
FeMale,5,5,3,3,5,4,4,4
FeMale,5,5,4,5,5,3,4,4
FeMale,5,5,4,4,5,5,5,5
FeMale,5,2,5,5,5,5,5,4
FeMale,5,5,5,5,5,4,4,4
Male,5,5,5,4,5,5,4,3
FeMale,5,5,5,2,5,5,5,4
FeMale,5,5,5,5,5,5,5,4
FeMale,5,5,5,5,5,5,4,5
Male,5,4,3,4,4,3,3,4
Male,5,4,4,3,4,3,5,4
Male,5,5,5,5,5,5,5,5
FeMale,5,5,4,3,5,4,3,4
