gp1,Understanding_Memory,Satisfaction_Want_to_See_Again,Satisfaction_Want_to_Visit_in_Person,Satisfaction_Overall_Effect,Shared_Motive
従来,6 ,3,3,6,3
従来,7 ,3,3,5,3
従来,6 ,4,4,7,3
従来,2 ,4,5,8,3
従来,10 ,3,4,4,3
従来,10 ,4,4,8,4
従来,10 ,5,5,9,4
従来,8 ,3,5,5,3
従来,3 ,3,3,8,4
従来,7 ,4,4,7,3
従来,3 ,4,3,10,3
従来,6 ,5,5,10,5
従来,9 ,3,2,5,2
従来,7 ,4,5,10,4
従来,7 ,3,5,10,3
従来,7 ,3,4,7,3
従来,7 ,3,4,8,3
従来,7 ,4,5,9,4
従来,7 ,3,4,8,5
従来,6 ,5,5,9,4
従来,7 ,4,5,8,3
インタラクティブ,6 ,5,3,8,3
インタラクティブ,6 ,2,4,6,2
インタラクティブ,8 ,4,4,7,3
インタラクティブ,10 ,4,3,10,3
インタラクティブ,8 ,3,5,6,3
インタラクティブ,9 ,4,3,8,4
インタラクティブ,5 ,4,5,10,4
インタラクティブ,10 ,3,4,7,4
インタラクティブ,8 ,3,3,8,3
インタラクティブ,10 ,4,4,9,4
インタラクティブ,7 ,3,1,5,3
インタラクティブ,7 ,3,3,5,3
インタラクティブ,5 ,3,3,8,3
インタラクティブ,5 ,4,4,10,4
インタラクティブ,7 ,3,5,8,4
インタラクティブ,5 ,5,5,8,5
インタラクティブ,7 ,4,4,8,3
インタラクティブ,6 ,2,4,6,3
インタラクティブ,6 ,5,4,9,5
インタラクティブ,7 ,4,5,8,3
インタラクティブ,6 ,3,2,8,2
インタラクティブ,7 ,1,2,4,1
インタラクティブ,7 ,5,4,10,4
インタラクティブ,6 ,5,5,10,5
インタラクティブ,7 ,4,4,8,3
インタラクティブ,2 ,5,5,10,5
