gender,age,Q1,Q2,Q3,Q4,Q5,Q6,自由
男性,60,5,4,5,5,5,白、赤,とても斬新な体験でした
女性,60,2,3,4,5,5,黄,興味深く思います。一度行ってみたいです。
男性,60,4,5,5,5,4,黒,映像は素晴らし！
女性,30,5,5,5,5,5,黒,
女性,60,5,5,5,5,5,青,太平湖行ってみたい！毛豆腐食べたい！
男性,60,5,5,5,5,5,黄、青、赤,九産大の近く下原から登る立花山から眺める福岡市を新宮町の景色もいいです。良かったらぜひ
男性,60,2,5,5,5,4,白,
女性,60,4,5,5,5,5,黒、赤,
女性,50,5,5,5,5,5,赤,映像も綺麗で、とても引きこまれました。行ってみたいです
男性,70,2,5,5,5,5,黄,
女性,50,5,5,5,5,5,黄,
男性,50,5,5,5,5,5,黄,IT業界に勤めています。映像とWebの融合は普通な技術ですが、映像流しながら選べるのは面白いです。特に今いろんなプラットフォームがあって、ログインしないと解像度が低いとかの問題があって、Webの方がオープンだと思います。まるで旅しているような気分でした。
男性,60,3,4,3,4,5,赤,
男性,70,3,3,5,5,3,青、黒,
女性,70,2,2,4,4,4,赤,
男性,50,5,5,5,5,5,赤,Very Good！I really enjoy five color trips
男性,70,4,5,5,5,5,黄,
男性,80,5,5,5,5,5,黄,
女性,70,5,5,5,3,5,黄,Webサイトも便利そうな感じ
男性,70,1,3,3,3,1,黒,
女性,50,3,4,3,3,3,青,映像はとても綺麗！
男性,60,3,5,4,3,3,黄,参加者とのインタラクティブな進め方が良かった。
男性,70,5,5,5,5,5,黒,
男性,70,5,5,5,5,5,黒,
男性,20,5,5,5,5,5,赤,映像の中で選択できるのは面白い
男性,60,5,5,5,5,5,黒,
男性,30,5,5,5,5,5,青,日本にはない雄大さでした。素晴らしい映像でした！本当に行ってみたいです！
男性,20,5,5,5,5,5,青,
女性,20,5,5,5,5,5,赤,
男性,20,5,5,5,5,5,赤,
女性,20,5,4,5,5,5,赤,
女性,20,5,5,5,5,5,青,
男性,40,5,5,4,5,5,青,
男性,40,5,5,5,5,5,青,
