gender,age,Q1,Q2,Q3,Q4,Q5,Q6,
女性,60,5,5,5,3,5,青,
女性,50,3,5,5,4,5,黄,
女性,40,5,5,5,5,5,赤,
女性,80,1,5,4,3,5,青,
女性,80,2,5,3,4,5,白,
男性,80,1,1,3,1,1,白,
女性,80,2,2,2,1,1,黄,
女性,70,5,4,5,5,5,赤,
女性,70,5,5,5,5,5,赤,
女性,70,4,3,3,2,2,青,
女性,70,1,5,5,3,5,赤,
女性,70,4,3,5,5,4,赤,もう一度ゆっくりみたい
女性,80,4,3,5,3,5,黄,
男性,80,5,4,4,4,4,黄,
女性,80,3,3,3,1,2,赤,
女性,60,3,3,5,5,3,青,
男性,80,2,3,3,3,4,青,
男性,80,4,4,4,3,5,青,
女性,70,3,3,3,2,1,白,
女性,60,3,4,4,4,4,黒,
男性,80,2,2,2,2,2,赤,
女性,80,3,3,4,2,2,赤,
女性,80,3,5,3,3,3,黄,
女性,40,5,5,5,5,5,白,
女性,80,3,4,3,3,4,赤,
女性,80,3,3,3,5,5,白,
女性,40,5,5,5,5,5,赤,
女性,70,5,5,5,5,5,赤,
女性,70,4,5,4,1,1,赤,
女性,60,3,3,5,5,3,赤,
女性,40,5,4,5,5,5,赤,
女性,40,5,5,5,5,5,赤,
男性,40,5,5,5,4,5,赤,
男性,40,5,5,3,4,5,赤,
